,ID,Name,Address,IsNetObject,TypeObject,is_actual
4073,162980,Кафе-бар «Есенин Пиво»,"город Москва, город Троицк, Академическая площадь, дом 5",,бар,True
7924,158645,Отокомае,"город Москва, Неглинная улица, дом 10",нет,бар,True
4543,156481,Бар «PivBar»,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Пресненский, улица Красная Пресня, дом 29",,бар,True
6074,156314,ВОДА,"город Москва, улица Петровка, дом 17, строение 7",,бар,True
8807,152709,Сова,"город Москва, город Зеленоград, Савёлкинский проезд, дом 12",нет,бар,True
2332,152465,TIMELESS lounge & bar,"город Москва, Милютинский переулок, дом 15, строение 1",нет,бар,True
6181,148580,Dead Rabbit Pub,"город Москва, проспект Маршала Жукова, дом 59",нет,бар,True
8891,141574,Бар Сити Спейс,"город Москва, Космодамианская набережная, дом 52, строение 6",нет,бар,True
6998,140727,Бар Голова,"город Москва, Трубная улица, дом 15",нет,бар,True
9931,140005,Бар «Пальмира Бизнес Клуб»,"город Москва, Новоданиловская набережная, дом 6, корпус 2",нет,бар,True
1186,138398,Пивной Папа,"город Москва, Братиславская улица, дом 16, корпус 2",,бар,True
2028,137704,Burger Heroes,"город Москва, улица Большая Ордынка, дом 19, строение 2",нет,бар,True
7914,125871,Бар «Киану»,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Пресненский, Малая Бронная улица, дом 28",нет,бар,True
6057,67988,Frank by Баста,"город Москва, улица Рождественка, дом 5/7, строение 1",нет,бар,True
5902,59250,Мареа,"город Москва, Лубянский проезд, дом 15, строение 2",нет,бар,True
2118,58559,NOOR Bar,"город Москва, Тверская улица, дом 23, строение 1",нет,бар,True
3699,29805,"Рок-н-ролл, Martinez Bar","Российская Федерация, город Москва, внутригородская территория муниципальный округ Мещанский, улица Сретенка, дом 1",нет,бар,True
4003,27067,G&t Gourmet,"город Москва, Русаковская улица, дом 24",нет,бар,True
5604,26905,Жигули,"город Москва, улица Новый Арбат, дом 11, строение 1",нет,бар,True
5444,26725,ДЖОН БУЛЛ ПАБ,"город Москва, Карманицкий переулок, дом 9",нет,бар,True
954,24729,Дрим Бар,"город Москва, Мясницкая улица, дом 17, строение 1",,бар,True
8731,24587,Кружка,"город Москва, Профсоюзная улица, дом 104",да,бар,True
5982,22446,Бобби Даззлер,"город Москва, Луков переулок, дом 10",нет,бар,True
7123,22015,Бар «Варка»,"город Москва, улица Александра Солженицына, дом 1/5",,бар,True
8476,20705,ПАБ,"город Москва, проспект Мира, дом 150",нет,бар,True
4217,20621,ДАЙМОНД,"город Москва, Смоленская улица, дом 5",,бар,True
8510,20618,HELP and FRIEND,"город Москва, 1-я Тверская-Ямская улица, дом 27",,бар,True
4311,20600,Акварель,"город Москва, Столешников переулок, дом 12, строение 3",,бар,True
8481,20508,Кофе «ПОДМОСКОВНЫЙ СТРОИТЕЛЬ»,"город Москва, Ратная улица, дом 10А",,бар,True
8883,20405,ФИТНЕС-БАР «WORLD CLASS»,"город Москва, улица Архитектора Власова, дом 22",нет,бар,True
1145,20337,БОСКО БАР,"город Москва, Красная площадь, дом 3",нет,бар,True
6142,20315,495,"город Москва, Олимпийский проспект, дом 18/1",нет,бар,True
3801,20308,Лобби-бар «Рандеву» при гостинице,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Замоскворечье, улица Щипок, дом 22, строение 1",нет,бар,True
7161,20307,бар «Центральный»,"город Москва, улица Бахрушина, дом 25",нет,бар,True
